,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
0,andhra pradesh,adilabad,2001,0,1,4,0,0,0,3,0,15,32,55
1,andhra pradesh,anantapur,2001,0,4,0,0,0,0,49,21,0,53,127
2,andhra pradesh,chittoor,2001,3,3,0,0,0,0,38,36,0,34,114
3,andhra pradesh,cuddapah,2001,0,3,0,0,0,0,20,52,0,25,100
4,andhra pradesh,east godavari,2001,1,3,0,0,0,0,3,12,63,7,89
5,andhra pradesh,guntakal rly.,2001,0,0,0,0,0,0,0,0,0,0,0
6,andhra pradesh,guntur,2001,4,5,1,0,0,3,53,16,6,53,141
7,andhra pradesh,hyderabad city,2001,0,2,1,0,0,0,0,40,1,35,79
8,andhra pradesh,karimnagar,2001,8,1,3,3,1,0,52,72,6,10,156
9,andhra pradesh,khammam,2001,2,6,0,0,0,0,12,51,0,90,161
10,andhra pradesh,krishna,2001,1,2,4,0,0,0,13,98,79,82,279
11,andhra pradesh,kurnool,2001,4,5,0,0,0,0,42,119,0,32,202
12,andhra pradesh,mahaboobnagar,2001,10,8,0,0,0,0,9,79,25,90,221
13,andhra pradesh,medak,2001,4,2,0,0,0,0,1,27,1,26,61
14,andhra pradesh,nalgonda,2001,1,1,0,0,0,0,3,34,1,3,43
15,andhra pradesh,nellore,2001,0,4,3,0,0,1,6,31,0,29,74
16,andhra pradesh,nizamabad,2001,0,2,3,0,0,0,9,9,0,23,46
17,andhra pradesh,prakasham,2001,1,0,0,0,0,0,28,52,4,29,114
18,andhra pradesh,ranga reddy,2001,2,7,0,0,0,0,8,83,4,93,197
19,andhra pradesh,secunderabad rly.,2001,0,0,0,0,0,0,0,0,0,0,0
20,andhra pradesh,srikakulam,2001,1,1,0,0,0,0,2,24,11,5,44
21,andhra pradesh,vijayawada,2001,1,3,3,0,1,2,146,4,14,97,271
22,andhra pradesh,vijayawada rly.,2001,0,0,0,0,0,0,0,1,0,1,2
23,andhra pradesh,visakha rural,2001,0,0,0,0,0,0,5,8,43,46,102
24,andhra pradesh,visakhapatnam,2001,0,0,0,0,0,0,2,14,3,6,25
25,andhra pradesh,vizianagaram,2001,2,2,0,0,0,0,0,2,17,21,44
26,andhra pradesh,warangal,2001,0,3,0,0,0,0,7,22,9,57,98
27,andhra pradesh,west godavari,2001,0,1,0,0,0,0,7,43,10,27,88
28,arunachal pradesh,changlang,2001,0,0,0,0,0,0,0,0,0,0,0
29,arunachal pradesh,dibang valley,2001,0,0,0,0,0,0,0,0,0,0,0
30,arunachal pradesh,kameng east,2001,0,0,0,0,0,0,0,0,0,0,0
31,arunachal pradesh,kameng west,2001,0,0,0,0,0,0,0,0,0,0,0
32,arunachal pradesh,lohit,2001,0,0,0,0,0,0,0,0,0,0,0
33,arunachal pradesh,papum pare,2001,0,0,0,0,0,0,0,0,0,0,0
34,arunachal pradesh,siang east,2001,0,0,0,0,0,0,0,0,0,0,0
35,arunachal pradesh,siang upper,2001,0,0,0,0,0,0,0,0,0,0,0
36,arunachal pradesh,siang west,2001,0,0,0,0,0,0,0,0,0,0,0
37,arunachal pradesh,subansiri lower,2001,0,0,0,0,0,0,0,0,0,0,0
38,arunachal pradesh,subansiri upper,2001,0,0,0,0,0,0,0,0,0,0,0
39,arunachal pradesh,tawang,2001,0,0,0,0,0,0,0,0,0,0,0
40,arunachal pradesh,tirap,2001,0,0,0,0,0,0,0,0,0,0,0
41,assam,barpeta,2001,0,0,0,0,0,0,0,0,0,0,0
42,assam,bongaigaon,2001,0,0,0,0,0,0,0,0,0,0,0
43,assam,c.i.d.,2001,0,0,0,0,0,0,0,0,0,0,0
44,assam,cachar,2001,0,0,0,0,0,0,0,0,0,0,0
45,assam,darrang,2001,0,0,0,0,0,0,0,0,0,0,0
46,assam,dhemaji,2001,0,0,0,0,0,0,0,0,0,0,0
47,assam,dhubri,2001,0,0,0,0,0,0,0,0,0,0,0
48,assam,dibrugarh,2001,0,0,0,0,0,0,0,0,0,0,0
49,assam,g.r.p.,2001,0,0,0,0,0,0,0,0,0,0,0
50,assam,goalpara,2001,0,0,0,0,0,0,0,0,0,0,0
